販売名,成分名,規格,判定,判定根拠,レビュー理由
タケプロン静注用３０ｍｇ,ランソプラゾール,３０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
デヒドロコール酸注射液,デヒドロコール酸,１０％１０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
１０％デヒドロコール酸注「ニッシン」,デヒドロコール酸,１０％１０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
カイトリル注１ｍｇ,グラニセトロン塩酸塩,１ｍｇ１ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
グラニセトロン静注液１ｍｇ「アイロム」,グラニセトロン塩酸塩,１ｍｇ１ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
グラニセトロン静注液１ｍｇ「サワイ」,グラニセトロン塩酸塩,１ｍｇ１ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
グラニセトロン静注液１ｍｇ「トーワ」,グラニセトロン塩酸塩,１ｍｇ１ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
グラニセトロン静注液１ｍｇ「明治」,グラニセトロン塩酸塩,１ｍｇ１ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
グラニセトロン静注液１ｍｇ「Ｆ」,グラニセトロン塩酸塩,１ｍｇ１ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
カイトリル注３ｍｇ,グラニセトロン塩酸塩,３ｍｇ３ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
グラニセトロン静注液３ｍｇ「Ｆ」,グラニセトロン塩酸塩,３ｍｇ３ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
グラニセトロン静注液３ｍｇ「アイロム」,グラニセトロン塩酸塩,３ｍｇ３ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
グラニセトロン静注液３ｍｇ「トーワ」,グラニセトロン塩酸塩,３ｍｇ３ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
グラニセトロン静注液３ｍｇ「サワイ」,グラニセトロン塩酸塩,３ｍｇ３ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
グラニセトロン静注液３ｍｇ「明治」,グラニセトロン塩酸塩,３ｍｇ３ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
