販売名,成分名,規格,判定,判定根拠,レビュー理由
ダカルバジン注用１００,ダカルバジン,１００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
注射用サイメリン５０ｍｇ,ラニムスチン,５０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
注射用サイメリン１００ｍｇ,ラニムスチン,１００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アルケラン静注用５０ｍｇ,メルファラン,５０ｍｇ１瓶（溶解液付）,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
テモダール点滴静注用１００ｍｇ,テモゾロミド,１００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
トレアキシン点滴静注液１００ｍｇ／４ｍＬ,ベンダムスチン塩酸塩水和物,１００ｍｇ４ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ベンダムスチン塩酸塩点滴静注液１００ｍｇ／４ｍＬ「トーワ」,ベンダムスチン塩酸塩水和物,１００ｍｇ４ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ベンダムスチン塩酸塩点滴静注液１００ｍｇ／４ｍＬ「ファイザー」,ベンダムスチン塩酸塩水和物,１００ｍｇ４ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ベンダムスチン塩酸塩点滴静注液１００ｍｇ／４ｍＬ「イセイ」,ベンダムスチン塩酸塩水和物,１００ｍｇ４ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ベンダムスチン塩酸塩点滴静注液２５ｍｇ／１ｍＬ「トーワ」,ベンダムスチン塩酸塩水和物,２５ｍｇ１ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ベンダムスチン塩酸塩点滴静注液２５ｍｇ／１ｍＬ「ファイザー」,ベンダムスチン塩酸塩水和物,２５ｍｇ１ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ベンダムスチン塩酸塩点滴静注液２５ｍｇ／１ｍＬ「イセイ」,ベンダムスチン塩酸塩水和物,２５ｍｇ１ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
トレアキシン点滴静注用１００ｍｇ,ベンダムスチン塩酸塩,１００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
トレアキシン点滴静注用２５ｍｇ,ベンダムスチン塩酸塩,２５ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ザノサー点滴静注用１ｇ,ストレプトゾシン,１ｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
メソトレキセート点滴静注液２００ｍｇ,メトトレキサート,２００ｍｇ８ｍＬ１瓶,○,告示第十第一号 [メトトレキサート製剤] マッチ規則:substring,自動substring一致（要確認）
メソトレキセート点滴静注液１０００ｍｇ,メトトレキサート,１，０００ｍｇ４０ｍＬ１瓶,○,告示第十第一号 [メトトレキサート製剤] マッチ規則:substring,自動substring一致（要確認）
注射用メソトレキセート５ｍｇ,メトトレキサート,５ｍｇ１瓶,○,告示第十第一号 [メトトレキサート製剤] マッチ規則:substring,自動substring一致（要確認）
注射用メソトレキセート５０ｍｇ,メトトレキサート,５０ｍｇ１瓶,○,告示第十第一号 [メトトレキサート製剤] マッチ規則:substring,自動substring一致（要確認）
５－ＦＵ注１０００ｍｇ,フルオロウラシル,１，０００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
フルオロウラシル注１０００ｍｇ「トーワ」,フルオロウラシル,１，０００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
５－ＦＵ注２５０ｍｇ,フルオロウラシル,２５０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
フルオロウラシル注２５０ｍｇ「トーワ」,フルオロウラシル,２５０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
キロサイド注２０ｍｇ,シタラビン,２０ｍｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
キロサイド注４０ｍｇ,シタラビン,４０ｍｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
キロサイド注６０ｍｇ,シタラビン,６０ｍｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
キロサイド注１００ｍｇ,シタラビン,１００ｍｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
キロサイド注２００ｍｇ,シタラビン,２００ｍｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
キロサイドＮ注４００ｍｇ,シタラビン,４００ｍｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
キロサイドＮ注１ｇ,シタラビン,１ｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
シタラビン点滴静注液１ｇ「ＮＩＧ」,シタラビン,１ｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
シタラビン点滴静注液４００ｍｇ「ＮＩＧ」,シタラビン,４００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
サンラビン点滴静注用１５０ｍｇ,エノシタビン,１５０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
サンラビン点滴静注用２００ｍｇ,エノシタビン,２００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
サンラビン点滴静注用２５０ｍｇ,エノシタビン,２５０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ゲムシタビン点滴静注液２００ｍｇ／５ｍＬ「サンド」,ゲムシタビン塩酸塩,２００ｍｇ５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ゲムシタビン点滴静注液２００ｍｇ／５ｍＬ「ＮＫ」,ゲムシタビン塩酸塩,２００ｍｇ５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ゲムシタビン点滴静注液１ｇ／２５ｍＬ「サンド」,ゲムシタビン塩酸塩,１ｇ２５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ゲムシタビン点滴静注液１ｇ／２５ｍＬ「ＮＫ」,ゲムシタビン塩酸塩,１ｇ２５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ゲムシタビン点滴静注用２００ｍｇ「ヤクルト」,ゲムシタビン塩酸塩,２００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ゲムシタビン点滴静注用２００ｍｇ「ＮＫ」,ゲムシタビン塩酸塩,２００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ゲムシタビン点滴静注用２００ｍｇ「タカタ」,ゲムシタビン塩酸塩,２００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ゲムシタビン点滴静注用１ｇ「ヤクルト」,ゲムシタビン塩酸塩,１ｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ゲムシタビン点滴静注用１ｇ「ＮＫ」,ゲムシタビン塩酸塩,１ｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ゲムシタビン点滴静注用１ｇ「タカタ」,ゲムシタビン塩酸塩,１ｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
フルダラ静注用５０ｍｇ,フルダラビンリン酸エステル,５０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ペメトレキセド点滴静注液１００ｍｇ「ＮＫ」,ペメトレキセドナトリウムヘミペンタ水和物,１００ｍｇ４ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ペメトレキセド点滴静注液１００ｍｇ「サワイ」,ペメトレキセドナトリウムヘミペンタ水和物,１００ｍｇ４ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ペメトレキセド点滴静注液１００ｍｇ「トーワ」,ペメトレキセドナトリウムヘミペンタ水和物,１００ｍｇ４ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ペメトレキセド点滴静注液５００ｍｇ「ＮＫ」,ペメトレキセドナトリウムヘミペンタ水和物,５００ｍｇ２０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ペメトレキセド点滴静注液５００ｍｇ「サワイ」,ペメトレキセドナトリウムヘミペンタ水和物,５００ｍｇ２０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ペメトレキセド点滴静注液５００ｍｇ「トーワ」,ペメトレキセドナトリウムヘミペンタ水和物,５００ｍｇ２０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ペメトレキセド点滴静注液８００ｍｇ「ＮＫ」,ペメトレキセドナトリウムヘミペンタ水和物,８００ｍｇ３２ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ペメトレキセド点滴静注液８００ｍｇ「サワイ」,ペメトレキセドナトリウムヘミペンタ水和物,８００ｍｇ３２ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ペメトレキセド点滴静注液８００ｍｇ「トーワ」,ペメトレキセドナトリウムヘミペンタ水和物,８００ｍｇ３２ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アリムタ注射用５００ｍｇ,ペメトレキセドナトリウム水和物,５００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ペメトレキセド点滴静注用５００ｍｇ「Ｆ」,ペメトレキセドナトリウムヘミペンタ水和物,５００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ペメトレキセド点滴静注用５００ｍｇ「ＮＫ」,ペメトレキセドナトリウムヘミペンタ水和物,５００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ペメトレキセド点滴静注用５００ｍｇ「サワイ」,ペメトレキセドナトリウムヘミペンタ水和物,５００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ペメトレキセド点滴静注用５００ｍｇ「ニプロ」,ペメトレキセドナトリウムヘミペンタ水和物,５００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ペメトレキセド点滴静注用５００ｍｇ「ヤクルト」,ペメトレキセドナトリウムヘミペンタ水和物,５００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ペメトレキセド点滴静注用５００ｍｇ「日医工Ｇ」,ペメトレキセドナトリウムヘミペンタ水和物,５００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アリムタ注射用１００ｍｇ,ペメトレキセドナトリウム水和物,１００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ペメトレキセド点滴静注用１００ｍｇ「Ｆ」,ペメトレキセドナトリウムヘミペンタ水和物,１００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ペメトレキセド点滴静注用１００ｍｇ「ＮＫ」,ペメトレキセドナトリウムヘミペンタ水和物,１００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ペメトレキセド点滴静注用１００ｍｇ「サワイ」,ペメトレキセドナトリウムヘミペンタ水和物,１００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ペメトレキセド点滴静注用１００ｍｇ「ニプロ」,ペメトレキセドナトリウムヘミペンタ水和物,１００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ペメトレキセド点滴静注用１００ｍｇ「ヤクルト」,ペメトレキセドナトリウムヘミペンタ水和物,１００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ペメトレキセド点滴静注用１００ｍｇ「日医工Ｇ」,ペメトレキセドナトリウムヘミペンタ水和物,１００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ペメトレキセド点滴静注用８００ｍｇ「Ｆ」,ペメトレキセドナトリウムヘミペンタ水和物,８００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ペメトレキセド点滴静注用８００ｍｇ「ＮＫ」,ペメトレキセドナトリウムヘミペンタ水和物,８００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ペメトレキセド点滴静注用８００ｍｇ「サワイ」,ペメトレキセドナトリウムヘミペンタ水和物,８００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アラノンジー静注用２５０ｍｇ,ネララビン,２５０ｍｇ５０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
エボルトラ点滴静注２０ｍｇ,クロファラビン,２０ｍｇ２０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ジフォルタ注射液２０ｍｇ,プララトレキサート,２０ｍｇ１ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
マイトマイシン注用２ｍｇ,マイトマイシンＣ,２ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
マイトマイシン注用１０ｍｇ,マイトマイシンＣ,１０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
コスメゲン静注用０．５ｍｇ,アクチノマイシンＤ,０．５ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ブレオ注射用５ｍｇ,ブレオマイシン塩酸塩,５ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ブレオ注射用１５ｍｇ,ブレオマイシン塩酸塩,１５ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アクラシノン注射用２０ｍｇ,アクラルビシン塩酸塩,２０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ダウノマイシン静注用２０ｍｇ,ダウノルビシン塩酸塩,２０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ドキシル注２０ｍｇ,ドキソルビシン塩酸塩,２０ｍｇ１０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ドキソルビシン塩酸塩注射液１０ｍｇ「サンド」,ドキソルビシン塩酸塩,１０ｍｇ５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ドキソルビシン塩酸塩注射液５０ｍｇ「サンド」,ドキソルビシン塩酸塩,５０ｍｇ２５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アドリアシン注用１０,ドキソルビシン塩酸塩,１０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ドキソルビシン塩酸塩注射用１０ｍｇ「ＮＫ」,ドキソルビシン塩酸塩,１０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ドキソルビシン塩酸塩注射用５０ｍｇ「ＮＫ」,ドキソルビシン塩酸塩,５０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アドリアシン注用５０,ドキソルビシン塩酸塩,５０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
テラルビシン注射用１０ｍｇ,ピラルビシン塩酸塩,１０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ピノルビン注射用１０ｍｇ,ピラルビシン塩酸塩,１０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
テラルビシン注射用２０ｍｇ,ピラルビシン塩酸塩,２０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ピノルビン注射用２０ｍｇ,ピラルビシン塩酸塩,２０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ピノルビン注射用３０ｍｇ,ピラルビシン塩酸塩,３０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
エピルビシン塩酸塩注射液１０ｍｇ／５ｍＬ「ＮＫ」,エピルビシン塩酸塩,１０ｍｇ５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
エピルビシン塩酸塩注射液５０ｍｇ／２５ｍＬ「ＮＫ」,エピルビシン塩酸塩,５０ｍｇ２５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
エピルビシン塩酸塩注射用１０ｍｇ「ＮＫ」,エピルビシン塩酸塩,１０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
エピルビシン塩酸塩注射用５０ｍｇ「ＮＫ」,エピルビシン塩酸塩,５０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イダマイシン静注用５ｍｇ,イダルビシン塩酸塩,５ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
カルセド注射用２０ｍｇ,アムルビシン塩酸塩,２０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
カルセド注射用５０ｍｇ,アムルビシン塩酸塩,５０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
マイロターグ点滴静注用５ｍｇ,ゲムツズマブオゾガマイシン（遺伝子組換え）,５ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ベスポンサ点滴静注用１ｍｇ,イノツズマブ　オゾガマイシン（遺伝子組換え）,１ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オンコビン注射用１ｍｇ,ビンクリスチン硫酸塩,１ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
注射用ビンブラスチン硫酸塩,ビンブラスチン硫酸塩,１０ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
注射用フィルデシン１ｍｇ,ビンデシン硫酸塩,１ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
注射用フィルデシン３ｍｇ,ビンデシン硫酸塩,３ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ラステット注１００ｍｇ／５ｍＬ,エトポシド,１００ｍｇ５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ベプシド注１００ｍｇ,エトポシド,１００ｍｇ５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
エトポシド点滴静注液１００ｍｇ「サンド」,エトポシド,１００ｍｇ５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
エトポシド点滴静注液１００ｍｇ「ＳＮ」,エトポシド,１００ｍｇ５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
エトポシド点滴静注１００ｍｇ「ＮＩＧ」,エトポシド,１００ｍｇ５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イリノテカン塩酸塩点滴静注液４０ｍｇ「ＮＫ」,イリノテカン塩酸塩水和物,４０ｍｇ２ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
トポテシン点滴静注４０ｍｇ,イリノテカン塩酸塩水和物,４０ｍｇ２ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イリノテカン塩酸塩点滴静注液４０ｍｇ「ＮＰ」,イリノテカン塩酸塩水和物,４０ｍｇ２ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イリノテカン塩酸塩点滴静注液４０ｍｇ「トーワ」,イリノテカン塩酸塩水和物,４０ｍｇ２ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イリノテカン塩酸塩点滴静注液４０ｍｇ「ＳＵＮ」,イリノテカン塩酸塩水和物,４０ｍｇ２ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イリノテカン塩酸塩１００ｍｇ５ｍＬ注射液,イリノテカン塩酸塩水和物,１００ｍｇ５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イリノテカン塩酸塩点滴静注液１００ｍｇ「ＮＫ」,イリノテカン塩酸塩水和物,１００ｍｇ５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
トポテシン点滴静注１００ｍｇ,イリノテカン塩酸塩水和物,１００ｍｇ５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イリノテカン塩酸塩点滴静注液１００ｍｇ「ＮＰ」,イリノテカン塩酸塩水和物,１００ｍｇ５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イリノテカン塩酸塩点滴静注液１００ｍｇ「トーワ」,イリノテカン塩酸塩水和物,１００ｍｇ５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オニバイド点滴静注４３ｍｇ,イリノテカン塩酸塩水和物,４３ｍｇ１０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
タキソテール点滴静注用２０ｍｇ,ドセタキセル水和物,２０ｍｇ０．５ｍＬ１瓶（溶解液付）,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
タキソテール点滴静注用８０ｍｇ,ドセタキセル水和物,８０ｍｇ２ｍＬ１瓶（溶解液付）,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ワンタキソテール点滴静注２０ｍｇ／１ｍＬ,ドセタキセル水和物,２０ｍｇ１ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ドセタキセル点滴静注２０ｍｇ／１ｍＬ「ニプロ」,ドセタキセル,２０ｍｇ１ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ワンタキソテール点滴静注８０ｍｇ／４ｍＬ,ドセタキセル水和物,８０ｍｇ４ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
