販売名,成分名,規格,YJコード,メーカー,先発後発,局方,薬価,院外処方可否,判定根拠,廃止経過措置,廃止区分,備考
リスパダール　コンスタ筋注用３７．５ｍｇ,リスペリドン,３７．５ｍｇ１キット（懸濁用液付）,1179407G2022,ヤンセンファーマ,先発品,,16128,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
リスパダール　コンスタ筋注用５０ｍｇ,リスペリドン,５０ｍｇ１キット（懸濁用液付）,1179407G3029,ヤンセンファーマ,先発品,,19079,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ジプレキサ筋注用１０ｍｇ,オランザピン,１０ｍｇ１瓶,1179408E1020,チェプラファーム,先発品,,1538,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ゼプリオン水懸筋注２５ｍｇシリンジ,パリペリドンパルミチン酸エステル,２５ｍｇ１キット,1179409G1025,ヤンセンファーマ,先発品,,16939,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ゼプリオン水懸筋注５０ｍｇシリンジ,パリペリドンパルミチン酸エステル,５０ｍｇ１キット,1179409G2021,ヤンセンファーマ,先発品,,27641,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ゼプリオン水懸筋注７５ｍｇシリンジ,パリペリドンパルミチン酸エステル,７５ｍｇ１キット,1179409G3028,ヤンセンファーマ,先発品,,36297,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ゼプリオン水懸筋注１００ｍｇシリンジ,パリペリドンパルミチン酸エステル,１００ｍｇ１キット,1179409G4024,ヤンセンファーマ,先発品,,44031,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ゼプリオン水懸筋注１５０ｍｇシリンジ,パリペリドンパルミチン酸エステル,１５０ｍｇ１キット,1179409G5020,ヤンセンファーマ,先発品,,56520,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ゼプリオンＴＲＩ水懸筋注１７５ｍｇシリンジ,パリペリドンパルミチン酸エステル,１７５ｍｇ１キット,1179409G6027,ヤンセンファーマ,先発品,,62397,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ゼプリオンＴＲＩ水懸筋注２６３ｍｇシリンジ,パリペリドンパルミチン酸エステル,２６３ｍｇ１キット,1179409G7023,ヤンセンファーマ,先発品,,81676,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ゼプリオンＴＲＩ水懸筋注３５０ｍｇシリンジ,パリペリドンパルミチン酸エステル,３５０ｍｇ１キット,1179409G8020,ヤンセンファーマ,先発品,,99067,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ゼプリオンＴＲＩ水懸筋注５２５ｍｇシリンジ,パリペリドンパルミチン酸エステル,５２５ｍｇ１キット,1179409G9026,ヤンセンファーマ,先発品,,129783,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
エビリファイ持続性水懸筋注用３００ｍｇ,アリピプラゾール水和物,３００ｍｇ１瓶（懸濁用液付）,1179410E1027,大塚製薬,先発品,,33580,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
エビリファイ持続性水懸筋注用４００ｍｇ,アリピプラゾール水和物,４００ｍｇ１瓶（懸濁用液付）,1179410E2023,大塚製薬,先発品,,41967,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
エビリファイ持続性水懸筋注用３００ｍｇシリンジ,アリピプラゾール水和物,３００ｍｇ１キット,1179410G1028,大塚製薬,先発品,,34008,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
エビリファイ持続性水懸筋注用４００ｍｇシリンジ,アリピプラゾール水和物,４００ｍｇ１キット,1179410G2024,大塚製薬,先発品,,40812,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ラジカット注３０ｍｇ,エダラボン,３０ｍｇ２０ｍＬ１管,1190401A1023,田辺ファーマ,先発品,局,1731,○,告示第十第一号 [エダラボン製剤] マッチ規則:substring ※条件付:筋萎縮性側索硬化症患者に対して使用する場合に限る。,,,
エダラボン点滴静注３０ｍｇ「ＮＰ」,エダラボン,３０ｍｇ２０ｍＬ１管,1190401A1066,ニプロ,,局,828,○,告示第十第一号 [エダラボン製剤] マッチ規則:substring ※条件付:筋萎縮性側索硬化症患者に対して使用する場合に限る。,,,
エダラボン点滴静注３０ｍｇ「タカタ」,エダラボン,３０ｍｇ２０ｍＬ１管,1190401A1112,高田製薬,,局,832,○,告示第十第一号 [エダラボン製剤] マッチ規則:substring ※条件付:筋萎縮性側索硬化症患者に対して使用する場合に限る。,,,
エダラボン点滴静注液３０ｍｇ「ＮＳ」,エダラボン,３０ｍｇ２０ｍＬ１管,1190401A1155,日新製薬（山形）,,局,580,○,告示第十第一号 [エダラボン製剤] マッチ規則:substring ※条件付:筋萎縮性側索硬化症患者に対して使用する場合に限る。,,,
エダラボン点滴静注液３０ｍｇ「ケミファ」,エダラボン,３０ｍｇ２０ｍＬ１管,1190401A1171,日本ケミファ,,局,1350,○,告示第十第一号 [エダラボン製剤] マッチ規則:substring ※条件付:筋萎縮性側索硬化症患者に対して使用する場合に限る。,,,
エダラボン点滴静注液３０ｍｇ「日医工」,エダラボン,３０ｍｇ２０ｍＬ１管,1190401A1201,日医工,,局,1227,○,告示第十第一号 [エダラボン製剤] マッチ規則:substring ※条件付:筋萎縮性側索硬化症患者に対して使用する場合に限る。,,,
エダラボン点滴静注３０ｍｇ「トーワ」,エダラボン,３０ｍｇ２０ｍＬ１瓶,1190401A2020,東和薬品,,局,806,○,告示第十第一号 [エダラボン製剤] マッチ規則:substring ※条件付:筋萎縮性側索硬化症患者に対して使用する場合に限る。,,,
ラジカット点滴静注バッグ３０ｍｇ,エダラボン,３０ｍｇ１００ｍＬ１キット,1190401G1026,田辺ファーマ,先発品,局,1731,○,告示第十第一号 [エダラボン製剤] マッチ規則:substring ※条件付:筋萎縮性側索硬化症患者に対して使用する場合に限る。,,,
エダラボン点滴静注３０ｍｇバッグ「アイロム」,エダラボン,３０ｍｇ１００ｍＬ１キット,1190401G1042,ネオクリティケア製薬,,局,1454,○,告示第十第一号 [エダラボン製剤] マッチ規則:substring ※条件付:筋萎縮性側索硬化症患者に対して使用する場合に限る。,R9.3.31まで,経過措置,
